Product ID;Product;Brand;Category;pricing_role_category;URL;Price;Image URL
762484;MAC True Or False Lashes 89 Megastar Lash (W);MAC;Makeup;C;https://www.matas.dk/soeg?search-query=762484;;
1024817;Adidas Blå Træningselastik Hård;Adidas;Sport and nutrition;C;https://www.matas.dk/soeg?search-query=1024817;;https://images.matas.dk/encode/0885652018739_20250819180300.jpg
768213;ABC Hand Wash 500 ml (web) (W);Australian Bodycare;Skin care;C;https://www.matas.dk/soeg?search-query=768213;;https://images.matas.dk/encode/768213_20231121113641.jpg
1004930;Nordog Hundeseng Hygge Cappuccino Medium;nordog;Pets;C;https://www.matas.dk/soeg?search-query=1004930;;https://images.matas.dk/encode/5744003340019_1_20240802144919.jpg
843617;Woods Copenhagen Volumizing Conditioner 400 ml;Woods Copenhagen;Hair care and styling;C;https://www.matas.dk/soeg?search-query=843617;;https://images.matas.dk/encode/5744002030393_1_20260629090100.jpg
837224;FT Golden Beards Lille Skægbørste 75 g (W);Golden Beards;Personal care;C;https://www.matas.dk/soeg?search-query=837224;;https://images.matas.dk/encode/7426759099813_20240430013839.jpg
798363;Cetaphil Facial Moisturizer 50 g;Cetaphil;Skin care;A;https://www.matas.dk/soeg?search-query=798363;89.0;https://images.matas.dk/encode/798363.jpg
777291;Parfums De Marly Galloway EDP Spray 125Ml;Parfums De Marly;Fragrances;C;https://www.matas.dk/soeg?search-query=777291;;https://images.matas.dk/encode/3700578502346_1_20260616183125.jpg
1016916;Wheat Rubber Boot Muddy Hazel 30;WHEAT;Baby and parent;C;https://www.matas.dk/soeg?search-query=1016916;;https://images.matas.dk/encode/5715596263900_1_20250228113000.jpg
835129;Moroccanoil Frizz Control Shampoo 250 ml.;Moroccanoil;Hair care and styling;C;https://www.matas.dk/soeg?search-query=835129;;https://images.matas.dk/encode/7290116972466_20240320103700.jpg
785456;FT Sonnentor Fødselsdags Te Øko 18 Br;Sonnentor;Food;C;https://www.matas.dk/soeg?search-query=785456;;https://images.matas.dk/encode/785456_20241101065934.jpg
782464;American Crew Classic Styling Finishing Spray 200 ML (W);American Crew;Hair care and styling;C;https://www.matas.dk/soeg?search-query=782464;;
542334;RIM Mascara 100% WP Black Black;Rimmel;Makeup;A;https://www.matas.dk/soeg?search-query=542334;;https://images.matas.dk/encode/5012874113095_20260623183205.jpg
824983;FT Pure Beginnings Berry Tandpasta 0-3 år 75 ml;Pure Beginnings;Baby and parent;C;https://www.matas.dk/soeg?search-query=824983;;https://images.matas.dk/encode/824983_20231124083627.jpg
816786;BY TERRY LipExpert Shine Liquid Lipstick N12 Gypsy Shot;By Terry;Makeup;;https://www.matas.dk/soeg?search-query=816786;;https://images.matas.dk/encode/3700076451054_1_Swatch.jpg
830798;Björn Borg Core Logo Hw Brief 2P Multi Pack XS;Björn Borg;Clothing, shoes and accessories;;https://www.matas.dk/soeg?search-query=830798;;https://images.matas.dk/encode/7321465534132_1_20240402093913.jpg
826173;MAC Macximal Matte Mini Lipstick Twig Twist;MAC;Makeup;;https://www.matas.dk/soeg?search-query=826173;;https://images.matas.dk/encode/773602721054_20240731143922.jpg
1029565;CL Double Serum Foundation D2w 30 ml;Clarins;Makeup;C;https://www.matas.dk/soeg?search-query=1029565;;https://images.matas.dk/encode/3666057362811_20260210180800.jpg
1022201;Compliments Slow Towel 40X60 Cm 2 Pack Brown;Compliments;Sleep and relaxation;C;https://www.matas.dk/soeg?search-query=1022201;;https://images.matas.dk/encode/5704957149267_20250526180500.jpg
1009210;Bobbi Brown Bronzing Powder Deep 10 g;Bobbi Brown;Makeup;C;https://www.matas.dk/soeg?search-query=1009210;;https://images.matas.dk/encode/716170319971_20260807040423.jpg
783213;GUERLAIN Aqua Allegoria Bergamote Calabria EDT 75 ml;Guerlain;Fragrances;C;https://www.matas.dk/soeg?search-query=783213;;https://images.matas.dk/encode/3346470143845_20250411040158.jpg
94153721;JF Frizz Ease Dream Curls Jelly;John Frieda;Hair care and styling;C;https://www.matas.dk/soeg?search-query=94153721;;https://images.matas.dk/encode/5037156298147_20260205180200.jpg
829927;RMS Beauty ReDimension Hydra Powder Blush French Rosé;RMS Beauty;Makeup;C;https://www.matas.dk/soeg?search-query=829927;;https://images.matas.dk/encode/816248025145_20231206153811.jpg
763193;bMin Mineralist Hydra-Smoothing Lipstick Awaraness (G);bareMinerals;Makeup;;https://www.matas.dk/soeg?search-query=763193;;https://images.matas.dk/encode/98132573424_20240117153952.jpg
1035728;Done By Deer Flaske Rustfrit Stål Tiny Farm Pudder 350 ml;Done By Deer;Baby and parent;C;https://www.matas.dk/soeg?search-query=1035728;;https://images.matas.dk/encode/5712643061182_20260304144100.jpg
812273;FT Pureviva Æterisk Appelsinolie Ø 10 ml (W);Pureviva;Sleep and relaxation;C;https://www.matas.dk/soeg?search-query=812273;;
838513;Björn Borg Studio Seamless Ribbed Tights XS;Björn Borg;Sport and nutrition;;https://www.matas.dk/soeg?search-query=838513;;https://images.matas.dk/encode/7321465638489_1_20241016180222.jpg
1034273;OPI RapiDry Stop, Drop n’ Whoa 9 ml;OPI;Makeup;C;https://www.matas.dk/soeg?search-query=1034273;;https://images.matas.dk/encode/4064665222951_20250926181100.jpg
959241;ES DayWear Anti-Oxidant Cream Spf 15 Dry 50ml;Estée Lauder;Skin care;B;https://www.matas.dk/soeg?search-query=959241;;https://images.matas.dk/encode/027131763529_20241212180000.jpg
574320;Nicorette Tyggegummi Freshmint 4 mg 210 stk (G) FLP;Nicorette®;Medicine;C;https://www.matas.dk/soeg?search-query=574320;;https://images.matas.dk/encode/7046260166110_20260817180127.jpg
1021311;NARS Mini Light Reflecting Setting Powder Pressed Crystal 3;NARS;Makeup;C;https://www.matas.dk/soeg?search-query=1021311;;https://images.matas.dk/encode/194251076379_20250815065000.jpg
94159983;The Body Shop British Rose Shower Gel 250 ml;THE BODY SHOP;Skin care;;https://www.matas.dk/soeg?search-query=94159983;;https://images.matas.dk/encode/94159983_20260213093700.jpg
825599;YSL Myslf Le Parfum 100 ml;Yves Saint Laurent;Fragrances;B;https://www.matas.dk/soeg?search-query=825599;;https://images.matas.dk/encode/3614274114645_20260601182317.jpg
778190;Dehn Kiss ImPRESS negle Time Slip - KIM008C;Kiss;Makeup;C;https://www.matas.dk/soeg?search-query=778190;;https://images.matas.dk/encode/778190.jpg
1004235;NARS Light Reflecting Foundation Zambie 30ml;NARS;Makeup;;https://www.matas.dk/soeg?search-query=1004235;;https://images.matas.dk/encode/194251070988_1_20240826115705.jpg
1033645;La Roche-Posay Lipikar Light Baume AP+M 400 ml;La Roche-Posay;Skin care;C;https://www.matas.dk/soeg?search-query=1033645;;https://images.matas.dk/encode/3337875930338_20251114180800.jpg
754406;ES Futurist Hydra Rescue 2C3 Fresco SPF45 35ml (G);Estée Lauder;Makeup;C;https://www.matas.dk/soeg?search-query=754406;;https://images.matas.dk/encode/887167466685_20240508113807.jpg
1024397;ACO Face Refreshing Cleansing Gel NP 200 ml;ACO;Skin care;C;https://www.matas.dk/soeg?search-query=1024397;;https://images.matas.dk/encode/7319861025842_20250522180100.jpg
